Report{id=1, positionName='Beer', quantity=2, amount=12.2, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=2, positionName='AnyPosition', quantity=292, amount=97165.48658794879, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=3, positionName='AnyPosition', quantity=833, amount=33084.29663711485, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=4, positionName='AnyPosition', quantity=944, amount=71628.25159239939, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=5, positionName='AnyPosition', quantity=949, amount=99204.0449404217, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=6, positionName='AnyPosition', quantity=70, amount=32976.982006626306, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=7, positionName='AnyPosition', quantity=843, amount=23238.43881031665, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=8, positionName='AnyPosition', quantity=290, amount=28016.346194884172, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=9, positionName='AnyPosition', quantity=299, amount=96110.88761473596, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=10, positionName='AnyPosition', quantity=851, amount=83981.43918453882, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=11, positionName='AnyPosition', quantity=636, amount=72834.89033551172, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=12, positionName='AnyPosition', quantity=253, amount=58473.00781834764, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=13, positionName='AnyPosition', quantity=251, amount=58104.649951042236, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=14, positionName='AnyPosition', quantity=72, amount=65002.64403130768, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=15, positionName='AnyPosition', quantity=159, amount=14514.787827200742, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=16, positionName='AnyPosition', quantity=666, amount=44956.26070578291, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=17, positionName='AnyPosition', quantity=977, amount=19765.762256164868, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=18, positionName='AnyPosition', quantity=703, amount=48412.6824485755, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=19, positionName='AnyPosition', quantity=967, amount=72103.54293851917, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=20, positionName='AnyPosition', quantity=666, amount=70431.92102742968, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=21, positionName='AnyPosition', quantity=2, amount=23878.60159861351, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=22, positionName='AnyPosition', quantity=835, amount=1287.627325029151, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=23, positionName='AnyPosition', quantity=106, amount=30127.743672391447, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=24, positionName='AnyPosition', quantity=598, amount=90714.58728379673, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=25, positionName='AnyPosition', quantity=658, amount=5055.094116901498, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=26, positionName='AnyPosition', quantity=227, amount=43210.52077155949, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=27, positionName='AnyPosition', quantity=275, amount=58343.49601809965, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=28, positionName='AnyPosition', quantity=594, amount=17250.607508021934, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=29, positionName='AnyPosition', quantity=951, amount=40517.73970324419, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=30, positionName='AnyPosition', quantity=248, amount=70063.6650660439, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=31, positionName='AnyPosition', quantity=60, amount=55874.80375895495, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=32, positionName='AnyPosition', quantity=800, amount=21029.012451633585, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=33, positionName='AnyPosition', quantity=587, amount=41812.94824198163, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=34, positionName='AnyPosition', quantity=252, amount=80076.68229181303, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=35, positionName='AnyPosition', quantity=88, amount=18478.602757992583, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=36, positionName='AnyPosition', quantity=822, amount=50693.01457232633, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=37, positionName='AnyPosition', quantity=858, amount=23540.571273527516, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=38, positionName='AnyPosition', quantity=908, amount=21553.804131419874, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=39, positionName='AnyPosition', quantity=440, amount=50049.02088909473, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=40, positionName='AnyPosition', quantity=910, amount=33008.72518744437, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=41, positionName='AnyPosition', quantity=1, amount=84961.68055310192, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=42, positionName='AnyPosition', quantity=432, amount=56703.278765530406, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=43, positionName='AnyPosition', quantity=607, amount=82571.54191940495, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=44, positionName='AnyPosition', quantity=562, amount=93258.68403905707, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=45, positionName='AnyPosition', quantity=410, amount=48706.967551405396, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=46, positionName='AnyPosition', quantity=159, amount=88565.48621280043, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=47, positionName='AnyPosition', quantity=832, amount=39059.23462072719, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=48, positionName='AnyPosition', quantity=603, amount=97287.24289409896, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=49, positionName='AnyPosition', quantity=910, amount=6154.2458172175675, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=50, positionName='AnyPosition', quantity=381, amount=24678.18575936066, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=51, positionName='AnyPosition', quantity=143, amount=52905.77759897928, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=52, positionName='AnyPosition', quantity=683, amount=99756.02760988403, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=53, positionName='AnyPosition', quantity=413, amount=51989.922009993796, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=54, positionName='AnyPosition', quantity=316, amount=84441.74759846716, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=55, positionName='AnyPosition', quantity=614, amount=30583.000837486878, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=56, positionName='AnyPosition', quantity=173, amount=57112.44623693692, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=57, positionName='AnyPosition', quantity=439, amount=48671.621883730324, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=58, positionName='AnyPosition', quantity=343, amount=90545.06699155126, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=59, positionName='AnyPosition', quantity=557, amount=28399.685503018816, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=60, positionName='AnyPosition', quantity=92, amount=74516.64436663591, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=61, positionName='AnyPosition', quantity=379, amount=34992.013092677, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=62, positionName='AnyPosition', quantity=987, amount=97659.08256075314, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=63, positionName='AnyPosition', quantity=102, amount=78608.69829813663, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=64, positionName='AnyPosition', quantity=451, amount=47865.357936054475, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=65, positionName='AnyPosition', quantity=718, amount=88824.11064013156, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=66, positionName='AnyPosition', quantity=657, amount=94349.45919690977, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=67, positionName='AnyPosition', quantity=715, amount=95500.43933839173, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=68, positionName='AnyPosition', quantity=955, amount=2668.882966071036, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=69, positionName='AnyPosition', quantity=173, amount=21672.90401979712, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=70, positionName='AnyPosition', quantity=853, amount=92910.23135396362, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=71, positionName='AnyPosition', quantity=902, amount=73109.67978940143, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=72, positionName='AnyPosition', quantity=217, amount=37089.94375982621, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=73, positionName='AnyPosition', quantity=307, amount=38412.63331710978, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=74, positionName='AnyPosition', quantity=901, amount=83919.41474352966, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=75, positionName='AnyPosition', quantity=76, amount=37241.87731112814, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=76, positionName='AnyPosition', quantity=160, amount=36406.60104166168, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=77, positionName='AnyPosition', quantity=117, amount=48278.959874138025, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=78, positionName='AnyPosition', quantity=600, amount=50830.32003773092, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=79, positionName='AnyPosition', quantity=280, amount=74834.83358401312, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=80, positionName='AnyPosition', quantity=205, amount=28545.652498869433, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=81, positionName='AnyPosition', quantity=803, amount=88565.16680477349, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=82, positionName='AnyPosition', quantity=987, amount=98955.00298513864, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=83, positionName='AnyPosition', quantity=832, amount=52091.55475208434, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=84, positionName='AnyPosition', quantity=167, amount=6596.2602776959775, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=85, positionName='AnyPosition', quantity=52, amount=88780.04374997428, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=86, positionName='AnyPosition', quantity=403, amount=72784.98144601934, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=87, positionName='AnyPosition', quantity=132, amount=72848.23317320582, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
Report{id=88, positionName='AnyPosition', quantity=632, amount=14151.150585135845, date=Thu Dec 15 23:08:50 GMT+04:00 2022}
